# 0.2 sps, start/stop: 50/0 mA (5 s), channels: 4,,
# V min: 5.01683, V max: 5.02452,,,
# I min: 0.05477, I max: 0.08192,,,
Time,Voltage,Current,Capacity,Energy
560,5.02081,0.08181,0.01274453,0.01606658
565,5.02073,0.08183,0.01285817,0.01620923
570,5.02061,0.08181,0.01297181,0.01635184
575,5.02026,0.08182,0.01308544,0.01649448
580,5.02069,0.08184,0.0131991,0.01663714
585,5.02057,0.08182,0.01331275,0.01677975
590,5.01971,0.08181,0.01342638,0.01692234
595,5.01948,0.08179,0.01353999,0.01706491
600,5.02014,0.08181,0.0136536,0.01720749
605,5.01948,0.08182,0.01376724,0.01735009
610,5.01948,0.08182,0.01388087,0.01749269
615,5.01936,0.08181,0.01399451,0.01763529
620,5.01995,0.08181,0.01410813,0.01777786
625,5.01917,0.08181,0.01422176,0.01792045
630,5.01964,0.08181,0.01433538,0.01806304
635,5.0194,0.0818,0.014449,0.01820559
640,5.01917,0.08181,0.01456262,0.01834816
645,5.01882,0.08183,0.01467626,0.01849078
650,5.01956,0.08184,0.01478992,0.01863343
655,5.01991,0.08183,0.01490358,0.01877606
660,5.01979,0.08184,0.01501724,0.0189187
665,5.01968,0.08181,0.01513088,0.01906129
670,5.01975,0.08184,0.01524453,0.01920394
675,5.01983,0.08183,0.01535819,0.01934658
680,5.0203,0.08184,0.01547185,0.01948922
685,5.01956,0.08184,0.01558551,0.01963187
690,5.01971,0.08185,0.01569919,0.01977451
695,5.01913,0.08184,0.01581286,0.01991712
700,5.01839,0.08182,0.01592651,0.02005972
705,5.01968,0.08184,0.01604017,0.02020238
710,5.02022,0.08184,0.01615383,0.02034504
715,5.02018,0.08184,0.0162675,0.02048766
720,5.01889,0.08184,0.01638117,0.02063028
725,5.01905,0.08184,0.01649483,0.02077295
730,5.02065,0.08182,0.01660849,0.02091556
735,5.01956,0.08184,0.01672214,0.0210582
740,5.01979,0.08184,0.01683581,0.02120086
745,5.0203,0.08183,0.01694947,0.02134349
750,5.01987,0.08184,0.01706312,0.02148614
755,5.01991,0.08184,0.01717679,0.02162878
760,5.01952,0.08184,0.01729046,0.02177141
765,5.01917,0.08184,0.01740413,0.02191407
770,5.02022,0.08185,0.0175178,0.02205674
775,5.02014,0.08186,0.01763149,0.02219941
780,5.01952,0.08188,0.01774519,0.02234213
785,5.01971,0.08186,0.0178589,0.02248483
790,5.02042,0.08188,0.01797261,0.02262756
795,5.02061,0.08184,0.01808631,0.02277022
800,5.02022,0.08186,0.01819999,0.02291291
805,5.02022,0.08186,0.01831368,0.02305561
810,5.02026,0.08185,0.01842737,0.02319828
815,5.02026,0.08188,0.01854107,0.02334102
820,5.02034,0.08188,0.01865479,0.02348376
825,5.02073,0.08188,0.01876851,0.02362648
830,5.02011,0.08187,0.01888223,0.02376918
835,5.01964,0.08188,0.01899594,0.0239119
840,5.02014,0.08185,0.01910965,0.02405458
845,5.02018,0.08183,0.01922331,0.02419721
850,5.01999,0.08185,0.01933698,0.02433986
855,5.01944,0.08186,0.01945067,0.02448257
860,5.02061,0.08187,0.01956437,0.02462531
865,5.02139,0.08188,0.01967808,0.02476805
870,5.02077,0.08188,0.01979181,0.0249108
875,5.02089,0.08188,0.01990553,0.02505353
880,5.02038,0.08188,0.02001925,0.02519628
885,5.02077,0.08189,0.02013298,0.02533904
890,5.021,0.08188,0.02024671,0.02548179
895,5.02085,0.08185,0.02036041,0.02562449
900,5.02096,0.08189,0.02047412,0.02576724
905,5.02057,0.08186,0.02058783,0.02590997
910,5.02155,0.08188,0.02070154,0.02605273
915,5.02143,0.08187,0.02081526,0.02619546
920,5.02096,0.08183,0.02092894,0.0263381
925,5.02018,0.08184,0.0210426,0.02648077
930,5.0205,0.08184,0.02115626,0.02662344
935,5.02077,0.08185,0.02126994,0.02676616
940,5.02155,0.08184,0.02138361,0.02690892
945,5.02413,0.08188,0.02149731,0.02705173
950,5.02303,0.08188,0.02161103,0.02719452
955,5.02245,0.08187,0.02172474,0.02733729
960,5.02206,0.08186,0.02183844,0.02748005
965,5.0228,0.08187,0.02195215,0.02762285
970,5.02335,0.08189,0.02206587,0.02776568
975,5.02331,0.08188,0.0221796,0.02790853
980,5.02432,0.08188,0.02229332,0.02805136
985,5.02385,0.08185,0.02240702,0.02819412
990,5.02335,0.08187,0.02252072,0.02833692
995,5.02315,0.08189,0.02263444,0.02847973
1000,5.02272,0.08188,0.02274817,0.02862254
1005,5.02307,0.0819,0.0228619,0.02876537
1010,5.02257,0.08191,0.02297566,0.02890823
1015,5.02288,0.08189,0.02308941,0.02905105
1020,5.02296,0.08189,0.02320315,0.02919381
1025,5.02085,0.08188,0.02331688,0.02933657
1030,5.02124,0.08187,0.02343059,0.02947931
1035,5.02132,0.08189,0.02354431,0.02962209
1040,5.02151,0.08189,0.02365805,0.02976487
1045,5.02124,0.08189,0.02377178,0.02990763
1050,5.02069,0.08188,0.02388551,0.03005039
1055,5.02147,0.08189,0.02399924,0.03019317
1060,5.02167,0.08187,0.02411297,0.03033593
1065,5.0219,0.0819,0.02422669,0.03047873
1070,5.02128,0.0819,0.02434044,0.03062151
1075,5.02104,0.08191,0.0244542,0.03076431
1080,5.02093,0.08192,0.02456797,0.03090711
1085,5.02034,0.08188,0.02468172,0.03104985
1090,5.02042,0.0819,0.02479546,0.03119262
1095,5.02077,0.08189,0.0249092,0.03133539
1100,5.021,0.08192,0.02502296,0.03147819
1105,5.02018,0.08191,0.02513673,0.03162098
1110,5.02073,0.08191,0.02525049,0.03176379
1115,5.02132,0.08189,0.02536424,0.03190653
1120,5.01991,0.08189,0.02547798,0.03204928
1125,5.0203,0.08191,0.02559173,0.03219207
1130,5.02077,0.0819,0.02570549,0.03233486
1135,5.02112,0.0819,0.02581924,0.03247762
1140,5.02026,0.08189,0.02593298,0.03262035
1145,5.01952,0.08187,0.0260467,0.03276307
1150,5.0205,0.0819,0.02616043,0.03290585
1155,5.021,0.08189,0.02627417,0.03304862
1160,5.0212,0.08189,0.02638791,0.03319139
1165,5.021,0.08186,0.02650162,0.0333341
1170,5.02077,0.08189,0.02661534,0.03347685
1175,5.02034,0.08187,0.02672906,0.0336196
1180,5.02151,0.08189,0.02684278,0.03376238
1185,5.02171,0.08187,0.02695651,0.03390512
1190,5.02112,0.08186,0.02707021,0.03404785
1195,5.02163,0.08188,0.02718392,0.03419058
