# 0.2 sps, start/stop: 50/0 mA (5 s), channels: 5,,,
# V min: 5.01893, V max: 5.0246,,,,
# I min: 0.05424, I max: 0.08465,,,,
# P min: 0.27244101119999997, P max: 0.425093677,,,,
Time,Voltage,Current,Power,Capacity,Energy
445,5.02069,0.08442,0.42384665,0.01048494,0.01323414
450,5.02116,0.08443,0.42393654,0.0106022,0.01338131
455,5.0203,0.08442,0.42381373,0.01071946,0.01352849
460,5.02112,0.08443,0.42393316,0.01083672,0.0136757
465,5.02139,0.08447,0.42415681,0.01095401,0.01382296
470,5.02096,0.08438,0.4236686,0.01107126,0.01397006
475,5.02077,0.08443,0.42390361,0.01118849,0.01411725
480,5.02073,0.08443,0.42390023,0.01130576,0.01426445
485,5.02104,0.08445,0.42402683,0.01142303,0.01441167
490,5.02065,0.08443,0.42389348,0.01154031,0.01455885
495,5.0205,0.08443,0.42388082,0.01165758,0.01470606
500,5.02163,0.0844,0.42382557,0.01177482,0.01485321
505,5.0212,0.08444,0.42399013,0.01189207,0.01500045
510,5.02186,0.08447,0.42419651,0.01200937,0.01514771
515,5.02081,0.08442,0.42385678,0.01212665,0.0152949
520,5.02143,0.08443,0.42395933,0.01224391,0.01544211
525,5.02139,0.08442,0.42390574,0.01236117,0.01558927
530,5.02061,0.08442,0.4238399,0.01247842,0.01573647
535,5.02147,0.08443,0.42396271,0.01259567,0.01588368
540,5.02171,0.08444,0.42403319,0.01271294,0.01603088
545,5.02061,0.08444,0.42394031,0.01283022,0.01617809
550,5.02089,0.08447,0.42411458,0.01294752,0.01632537
555,5.02139,0.08446,0.4241066,0.01306483,0.01647263
560,5.02155,0.08445,0.4240699,0.01318213,0.01661985
565,5.02061,0.08449,0.42419134,0.01329945,0.01676718
570,5.02198,0.08447,0.42420665,0.01341678,0.0169145
575,5.02264,0.08451,0.42446331,0.01353413,0.01706191
580,5.02378,0.0845,0.42450941,0.0136515,0.01720929
585,5.02292,0.08449,0.42438651,0.01376885,0.01735662
590,5.02198,0.08449,0.42430709,0.0138862,0.01750393
595,5.02147,0.08447,0.42416357,0.01400353,0.01765119
600,5.02069,0.08449,0.4241981,0.01412087,0.01779848
605,5.02085,0.08447,0.4241112,0.0142382,0.01794576
610,5.02147,0.08447,0.42416357,0.01435552,0.01809305
615,5.02178,0.08445,0.42408932,0.01447283,0.01824032
620,5.02241,0.08445,0.42414252,0.01459012,0.01838757
625,5.02171,0.08442,0.42393276,0.01470739,0.0185348
630,5.02264,0.08445,0.42416195,0.01482466,0.01868207
635,5.02233,0.08443,0.42403532,0.01494194,0.01882929
640,5.02198,0.08445,0.42410621,0.01505922,0.01897655
645,5.02202,0.08443,0.42400915,0.01517649,0.01912375
650,5.02128,0.08442,0.42389646,0.01529375,0.01927092
655,5.02069,0.08446,0.42404748,0.01541103,0.01941818
660,5.02124,0.08443,0.42394329,0.01552831,0.01956539
665,5.02171,0.08445,0.42408341,0.01564559,0.01971261
670,5.02046,0.08444,0.42392764,0.01576288,0.01985982
675,5.02077,0.08445,0.42400403,0.01588016,0.02000702
680,5.02026,0.08444,0.42391075,0.01599744,0.02015424
685,5.02096,0.08443,0.42391965,0.01611472,0.02030144
690,5.02132,0.08445,0.42405047,0.01623199,0.02044868
695,5.02147,0.08446,0.42411336,0.01634929,0.02059591
700,5.02022,0.08445,0.42395758,0.01646659,0.02074313
705,5.02073,0.08449,0.42420148,0.01658391,0.02089046
710,5.02182,0.08451,0.42439401,0.01670127,0.02103781
715,5.02175,0.08445,0.42408679,0.0168186,0.02118505
720,5.02112,0.08446,0.4240838,0.0169359,0.02133231
725,5.02163,0.08444,0.42402644,0.01705319,0.02147957
730,5.02249,0.08446,0.42419951,0.01717049,0.02162686
735,5.02241,0.08448,0.4242932,0.01728781,0.0217742
740,5.02292,0.08449,0.42438651,0.01740515,0.02192151
745,5.02139,0.08449,0.42425724,0.01752249,0.02206882
750,5.02143,0.08445,0.42405976,0.01763981,0.02221608
755,5.02198,0.08446,0.42415643,0.01775711,0.02236335
760,5.02171,0.08445,0.42408341,0.01787441,0.02251064
765,5.02288,0.08446,0.42423244,0.01799171,0.02265792
770,5.02214,0.08442,0.42396906,0.01810899,0.02280515
775,5.02276,0.08443,0.42407163,0.01822624,0.02295238
780,5.02233,0.08444,0.42408555,0.01834351,0.02309963
785,5.02229,0.08442,0.42398172,0.01846078,0.02324684
790,5.02198,0.08443,0.42400577,0.01857803,0.02339407
795,5.02214,0.08444,0.4240695,0.01869531,0.02354131
800,5.02214,0.08444,0.4240695,0.01881258,0.02368855
805,5.02167,0.08444,0.42402981,0.01892986,0.02383581
810,5.02288,0.08445,0.42418222,0.01904715,0.02398306
815,5.02167,0.08443,0.4239796,0.01916442,0.02413029
820,5.02186,0.08448,0.42424673,0.01928172,0.02427759
825,5.02163,0.08445,0.42407665,0.01939903,0.02442485
830,5.02198,0.08444,0.42405599,0.01951632,0.02457208
835,5.02167,0.08449,0.4242809,0.01963363,0.02471944
840,5.02296,0.08448,0.42433966,0.01975097,0.02486675
845,5.02217,0.08448,0.42427292,0.01986831,0.02501408
850,5.02268,0.08448,0.42431601,0.01998564,0.02516139
855,5.02178,0.08449,0.42429019,0.02010298,0.02530868
860,5.02053,0.08448,0.42413437,0.02022032,0.02545596
865,5.02104,0.08451,0.42432809,0.02033767,0.02560331
870,5.02163,0.08454,0.4245286,0.02045507,0.02575071
875,5.02132,0.08452,0.42440197,0.02057247,0.02589808
880,5.02147,0.08456,0.4246155,0.02068989,0.02604552
885,5.02167,0.08456,0.42463242,0.02080733,0.02619296
890,5.02167,0.08455,0.4245822,0.02092477,0.02634039
895,5.02186,0.08452,0.42444761,0.02104218,0.02648773
900,5.02073,0.08454,0.42445251,0.02115958,0.02663516
905,5.02217,0.08451,0.42442359,0.02127698,0.02678252
910,5.02186,0.08452,0.42444761,0.02139436,0.02692992
915,5.0226,0.08454,0.4246106,0.02151176,0.02707734
