algorithm,trunc_bits,repetition,found,collision_index,hash_evaluations,ratio_to_expected
VSH-256,24,26,yes,7916.0,43348.0,1.54200542
VSH-256,24,28,yes,8844.0,41819.0,1.72277614
VSH-256,24,39,yes,8432.0,58048.0,1.64252017
VSH-256,32,23,yes,28318.0,137394.0,0.34476463
VSH-256,32,33,yes,18440.0,89580.0,0.22450243
VSH-256,32,41,yes,24577.0,110831.0,0.29921889
VSH-256,32,39,yes,29343.0,139436.0,0.35724375
VSH-256,32,11,yes,27746.0,138298.0,0.33780067
VSH-256,32,19,yes,57197.0,267462.0,0.6963593
VSH-256,32,9,yes,47364.0,228007.0,0.57664496
VSH-256,32,38,yes,42520.0,198989.0,0.51767046
VSH-256,32,27,yes,42097.0,208185.0,0.51252054
VSH-256,32,24,yes,65782.0,350920.0,0.80087955
VSH-256,32,17,yes,75692.0,342404.0,0.92153134
VSH-256,32,44,yes,35804.0,205036.0,0.43590483
VSH-256,32,25,yes,60968.0,303678.0,0.74227029
VSH-256,32,47,yes,62080.0,290988.0,0.75580862
VSH-256,32,5,yes,73291.0,336103.0,0.89229976
VSH-256,32,36,yes,50357.0,294521.0,0.613084
VSH-256,32,20,yes,55631.0,367635.0,0.67729364
VSH-256,32,4,yes,69206.0,328906.0,0.8425659
VSH-256,32,18,yes,94361.0,434545.0,1.14882179
VSH-256,32,3,yes,48244.0,309180.0,0.58735875
VSH-256,32,49,yes,39407.0,269808.0,0.47977046
VSH-256,32,10,yes,66325.0,299455.0,0.80749044
VSH-256,32,15,yes,84107.0,395938.0,1.02398188
VSH-256,32,40,yes,64707.0,310174.0,0.78779169
VSH-256,32,1,yes,92659.0,441244.0,1.12810036
VSH-256,32,32,yes,71869.0,349911.0,0.87498727
VSH-256,32,29,yes,74967.0,364162.0,0.91270465
VSH-256,32,45,yes,62375.0,292988.0,0.75940017
VSH-256,32,31,yes,116735.0,543941.0,1.4212197
VSH-256,32,30,yes,78145.0,385115.0,0.95139601
VSH-256,32,12,yes,68317.0,393024.0,0.83174255
VSH-256,32,16,yes,70162.0,416497.0,0.85420496
VSH-256,32,43,yes,86880.0,431158.0,1.05774247
VSH-256,32,13,yes,87679.0,565116.0,1.0674701
VSH-256,32,22,yes,123915.0,573303.0,1.50863442
VSH-256,32,6,yes,51942.0,355583.0,0.63238098
VSH-256,32,35,yes,94892.0,452467.0,1.15528659
VSH-256,32,26,yes,75560.0,404932.0,0.91992428
VSH-256,32,42,yes,64698.0,427464.0,0.78768212
VSH-256,32,7,yes,103240.0,584296.0,1.25692142
VSH-256,32,2,yes,143619.0,670186.0,1.74852574
VSH-256,32,14,yes,130306.0,610304.0,1.58644326
VSH-256,32,8,yes,85729.0,574866.0,1.04372933
VSH-256,32,46,yes,107330.0,498287.0,1.30671615
VSH-256,32,34,yes,80967.0,556464.0,0.98575316
VSH-256,32,48,yes,111333.0,747413.0,1.35545169
VSH-256,32,37,yes,157893.0,845588.0,1.92230815
VSH-256,32,21,yes,98591.0,663640.0,1.200321
VSH-256,32,0,yes,155581.0,992681.0,1.89416012
VSH-256,32,28,yes,229565.0,1105049.0,2.79489699
VSH-256,40,29,yes,50474.0,230389.0,0.03840678
VSH-256,40,9,yes,286404.0,1340336.0,0.21793111
VSH-256,40,3,yes,265037.0,1521548.0,0.20167249
VSH-256,40,5,yes,382046.0,1762113.0,0.29070721
VSH-256,40,13,yes,371558.0,2141593.0,0.28272666
VSH-256,40,10,yes,419710.0,2098314.0,0.31936658
VSH-256,40,23,yes,504926.0,2414503.0,0.38420931
VSH-256,40,2,yes,563318.0,2613927.0,0.42864107
VSH-256,40,1,yes,759301.0,3468126.0,0.57776885
VSH-256,40,24,yes,549103.0,3282798.0,0.41782456
VSH-256,40,21,yes,1156472.0,5665686.0,0.879985
VSH-256,40,17,yes,906414.0,5497589.0,0.68971037
VSH-256,40,8,yes,1175546.0,5475297.0,0.89449883
VSH-256,40,11,yes,1026459.0,5704064.0,0.78105525
VSH-256,40,18,yes,1371426.0,6746834.0,1.04354823
VSH-256,40,26,yes,1051472.0,6163704.0,0.80008819
VSH-256,40,12,yes,1417152.0,6974227.0,1.07834215
VSH-256,40,25,yes,1396799.0,6814683.0,1.06285511
VSH-256,40,16,yes,1393651.0,8363215.0,1.06045972
VSH-256,40,4,yes,1537345.0,8708976.0,1.16979965
VSH-256,40,0,yes,1542459.0,9213124.0,1.17369101
VSH-256,40,27,yes,1844070.0,8569656.0,1.40319346
VSH-256,40,20,yes,1823328.0,10978722.0,1.38741041
VSH-256,40,6,yes,1889011.0,11341665.0,1.43739005
VSH-256,40,22,yes,2485790.0,11447158.0,1.89149233
VSH-256,40,19,yes,2589451.0,12633304.0,1.97037027
VSH-256,40,7,yes,2960313.0,14033406.0,2.25256733
VSH-256,40,14,yes,2447658.0,14341172.0,1.86247685
VSH-256,40,15,yes,2784657.0,16778188.0,2.11890681
VSH-256,40,28,yes,3025567.0,18672871.0,2.30222053
VSH-256,48,1,yes,9302137.0,44598710.0,0.44238755
VSH-256,48,9,yes,11119407.0,50899079.0,0.5288126
VSH-256,48,8,yes,10685696.0,48954236.0,0.50818633
VSH-256,48,2,yes,13691013.0,75667708.0,0.65111207
VSH-256,48,7,yes,15186679.0,103412590.0,0.7222424
VSH-256,48,3,yes,20641172.0,101121236.0,0.98164513
VSH-256,48,6,yes,16210823.0,108079078.0,0.77094825
VSH-256,48,4,yes,24804652.0,147889867.0,1.17965036
VSH-256,48,0,yes,43797211.0,216080570.0,2.08289137
VSH-256,48,5,yes,44623481.0,223111111.0,2.12218681
VSH-256,56,1,yes,61876128.0,347237268.0,0.18391761
VSH-256,56,2,yes,112225069.0,540261768.0,0.33357236
VSH-256,56,3,yes,371035552.0,2183290868.0,1.10284812
VSH-256,56,0,yes,435024479.0,2813792246.0,1.29304571
VSH-256,56,4,yes,435285644.0,2802100796.0,1.29382199
SpVSH-320,16,34,yes,29.0,136.0,0.09038536
SpVSH-320,16,48,yes,17.0,84.0,0.05298452
SpVSH-320,16,16,yes,95.0,464.0,0.29608997
SpVSH-320,16,7,yes,106.0,632.0,0.33037408
SpVSH-320,16,40,yes,48.0,218.0,0.14960336
SpVSH-320,16,0,yes,167.0,775.0,0.52049501
SpVSH-320,16,6,yes,232.0,1352.0,0.72308288
SpVSH-320,16,11,yes,86.0,498.0,0.26803934
SpVSH-320,16,31,yes,275.0,1291.0,0.85710256
SpVSH-320,16,8,yes,119.0,550.0,0.37089165
SpVSH-320,16,13,yes,171.0,795.0,0.53296195
SpVSH-320,16,28,yes,152.0,736.0,0.47374396
SpVSH-320,16,29,yes,140.0,776.0,0.43634312
SpVSH-320,16,2,yes,251.0,1215.0,0.78230088
SpVSH-320,16,12,yes,96.0,626.0,0.29920671
SpVSH-320,16,1,yes,181.0,1199.0,0.56412932
SpVSH-320,16,3,yes,288.0,1792.0,0.89762013
SpVSH-320,16,5,yes,451.0,2246.0,1.40564819
SpVSH-320,16,35,yes,276.0,1319.0,0.86021929
SpVSH-320,16,26,yes,220.0,1342.0,0.68568204
SpVSH-320,16,45,yes,346.0,1712.0,1.07839085
SpVSH-320,16,33,yes,188.0,932.0,0.58594647
SpVSH-320,16,14,yes,236.0,1112.0,0.73554983
SpVSH-320,16,27,yes,289.0,1431.0,0.90073687
SpVSH-320,16,10,yes,318.0,1525.0,0.99112223
SpVSH-320,16,17,yes,272.0,1236.0,0.84775235
SpVSH-320,16,39,yes,254.0,1204.0,0.79165109
SpVSH-320,16,25,yes,348.0,1668.0,1.08462432
SpVSH-320,16,9,yes,456.0,2179.0,1.42123187
SpVSH-320,16,43,yes,244.0,1190.0,0.76048372
SpVSH-320,16,22,yes,474.0,2346.0,1.47733313
SpVSH-320,16,32,yes,195.0,943.0,0.60776363
SpVSH-320,16,44,yes,348.0,2008.0,1.08462432
SpVSH-320,16,21,yes,284.0,1383.0,0.88515318
SpVSH-320,16,37,yes,296.0,1395.0,0.92255402
SpVSH-320,16,47,yes,262.0,1247.0,0.81658498
SpVSH-320,16,46,yes,163.0,1030.0,0.50802806
SpVSH-320,16,15,yes,318.0,1912.0,0.99112223
SpVSH-320,16,23,yes,431.0,2008.0,1.34331346
SpVSH-320,16,30,yes,391.0,1807.0,1.218644
SpVSH-320,16,18,yes,414.0,2824.0,1.29032894
SpVSH-320,16,42,yes,466.0,2158.0,1.45239924
SpVSH-320,16,38,yes,436.0,3043.0,1.35889714
SpVSH-320,16,49,yes,406.0,1870.0,1.26539505
SpVSH-320,16,24,yes,452.0,2900.0,1.40876493
SpVSH-320,16,4,yes,501.0,2365.0,1.56148502
SpVSH-320,16,41,yes,394.0,2288.0,1.22799421
SpVSH-320,16,20,yes,608.0,2821.0,1.89497583
SpVSH-320,16,19,yes,605.0,3292.0,1.88562562
SpVSH-320,16,36,yes,691.0,3346.0,2.15366497
SpVSH-320,24,11,yes,568.0,3532.0,0.11064415
SpVSH-320,24,10,yes,1089.0,6300.0,0.21213288
SpVSH-320,24,5,yes,1428.0,8076.0,0.27816874
SpVSH-320,24,34,yes,1377.0,7688.0,0.26823414
SpVSH-320,24,45,yes,1895.0,8823.0,0.36913849
SpVSH-320,24,44,yes,1676.0,8368.0,0.32647816
SpVSH-320,24,22,yes,1742.0,8551.0,0.33933469
SpVSH-320,24,38,yes,1613.0,9441.0,0.31420601
SpVSH-320,24,14,yes,1553.0,10832.0,0.30251824
SpVSH-320,24,19,yes,3373.0,16617.0,0.65704703
SpVSH-320,24,2,yes,3106.0,20453.0,0.60503649
SpVSH-320,24,15,yes,4366.0,20298.0,0.85047949
SpVSH-320,24,13,yes,4205.0,19136.0,0.81911733
SpVSH-320,24,4,yes,2713.0,12745.0,0.52848164
SpVSH-320,24,0,yes,3342.0,16084.0,0.65100835
SpVSH-320,24,20,yes,2642.0,17393.0,0.51465113
SpVSH-320,24,32,yes,3024.0,13712.0,0.58906321
SpVSH-320,24,3,yes,3229.0,15798.0,0.6289964
SpVSH-320,24,18,yes,2987.0,15948.0,0.58185576
SpVSH-320,24,25,yes,4254.0,29426.0,0.82866233
SpVSH-320,24,26,yes,3473.0,17360.0,0.67652663
SpVSH-320,24,21,yes,7042.0,33368.0,1.37175368
SpVSH-320,24,36,yes,4164.0,26156.0,0.81113069
SpVSH-320,24,49,yes,4345.0,21427.0,0.84638877
SpVSH-320,24,12,yes,7937.0,36662.0,1.54609613
SpVSH-320,24,42,yes,4306.0,20310.0,0.83879173
SpVSH-320,24,48,yes,5348.0,35993.0,1.0417692
SpVSH-320,24,46,yes,3738.0,25963.0,0.72814758
SpVSH-320,24,33,yes,6379.0,34948.0,1.24260391
SpVSH-320,24,9,yes,4881.0,27108.0,0.95079945
SpVSH-320,24,28,yes,7631.0,50099.0,1.48648855
SpVSH-320,24,40,yes,5855.0,38124.0,1.14053079
SpVSH-320,24,30,yes,7707.0,50588.0,1.50129304
SpVSH-320,24,8,yes,7958.0,55396.0,1.55018685
SpVSH-320,24,35,yes,6359.0,31443.0,1.23870799
SpVSH-320,24,41,yes,7199.0,43566.0,1.40233666
SpVSH-320,24,47,yes,7083.0,34640.0,1.37974032
SpVSH-320,24,17,yes,7538.0,36921.0,1.46837251
SpVSH-320,24,23,yes,6443.0,37940.0,1.25507086
SpVSH-320,24,39,yes,7478.0,34068.0,1.45668475
SpVSH-320,24,7,yes,5408.0,37219.0,1.05345696
SpVSH-320,24,43,yes,8608.0,40705.0,1.67680427
SpVSH-320,24,29,yes,8558.0,46476.0,1.66706447
SpVSH-320,24,37,yes,9450.0,43152.0,1.84082253
SpVSH-320,24,31,yes,10505.0,70104.0,2.04633235
SpVSH-320,24,27,yes,8567.0,56364.0,1.66881763
SpVSH-320,24,1,yes,11667.0,66180.0,2.27268534
SpVSH-320,24,24,yes,11085.0,73990.0,2.15931405
SpVSH-320,24,6,yes,14769.0,71044.0,2.87694265
SpVSH-320,24,16,yes,9510.0,64340.0,1.8525103
SpVSH-320,32,12,yes,2052.0,14079.0,0.02498259
SpVSH-320,32,15,yes,19243.0,131719.0,0.23427876
SpVSH-320,32,2,yes,11085.0,73410.0,0.13495713
SpVSH-320,32,42,yes,17390.0,95084.0,0.21171894
