algorithm,trunc_bits,repetition,found,collision_index,hash_evaluations,ratio_to_expected
SHA-3-256,24,16,yes,7239.0,34027.0,1.4101285
SHA-3-256,24,24,yes,4118.0,19413.0,0.80217007
SHA-3-256,24,8,yes,3870.0,23880.0,0.75386066
SHA-3-256,24,42,yes,4599.0,22197.0,0.89586697
SHA-3-256,24,2,yes,5385.0,25796.0,1.04897665
SHA-3-256,24,14,yes,6485.0,37455.0,1.26325229
SHA-3-256,24,19,yes,4216.0,27044.0,0.82126009
SHA-3-256,24,29,yes,5725.0,26829.0,1.1152073
SHA-3-256,24,40,yes,3447.0,23707.0,0.67146193
SHA-3-256,24,18,yes,5194.0,25744.0,1.01177061
SHA-3-256,24,5,yes,6000.0,27678.0,1.16877621
SHA-3-256,24,27,yes,6004.0,27339.0,1.1695554
SHA-3-256,24,0,yes,4919.0,33068.0,0.9582017
SHA-3-256,24,34,yes,4727.0,29338.0,0.92080086
SHA-3-256,24,1,yes,4692.0,32051.0,0.913983
SHA-3-256,24,44,yes,5270.0,30960.0,1.02657511
SHA-3-256,24,4,yes,12235.0,56683.0,2.38332949
SHA-3-256,24,38,yes,7601.0,36584.0,1.48064466
SHA-3-256,24,37,yes,6476.0,44296.0,1.26149912
SHA-3-256,24,23,yes,7114.0,32355.0,1.385779
SHA-3-256,24,36,yes,8201.0,50241.0,1.59752229
SHA-3-256,24,39,yes,5394.0,34086.0,1.05072981
SHA-3-256,24,48,yes,9398.0,43336.0,1.83069314
SHA-3-256,24,17,yes,12792.0,59811.0,2.49183088
SHA-3-256,24,15,yes,7514.0,34722.0,1.46369741
SHA-3-256,24,33,yes,8636.0,42526.0,1.68225856
SHA-3-256,24,6,yes,8069.0,39102.0,1.57180921
SHA-3-256,24,47,yes,7549.0,40496.0,1.47051527
SHA-3-256,24,25,yes,10396.0,50892.0,2.02509958
SHA-3-256,24,32,yes,7413.0,46980.0,1.44402301
SHA-3-256,24,20,yes,11261.0,70174.0,2.19359815
SHA-3-256,24,49,yes,9277.0,56508.0,1.80712282
SHA-3-256,32,5,yes,21834.0,99403.0,0.26582354
SHA-3-256,32,26,yes,20976.0,97696.0,0.2553776
SHA-3-256,32,7,yes,15842.0,78381.0,0.19287242
SHA-3-256,32,24,yes,33722.0,159379.0,0.41055699
SHA-3-256,32,17,yes,24796.0,161554.0,0.30188516
SHA-3-256,32,45,yes,56726.0,261862.0,0.69062499
SHA-3-256,32,8,yes,52351.0,334724.0,0.63736045
SHA-3-256,32,15,yes,49594.0,235245.0,0.60379466
SHA-3-256,32,18,yes,77146.0,367503.0,0.93923343
SHA-3-256,32,4,yes,66173.0,316894.0,0.80563988
SHA-3-256,32,12,yes,69395.0,394568.0,0.84486693
SHA-3-256,32,11,yes,83105.0,396721.0,1.01178278
SHA-3-256,32,39,yes,64134.0,303682.0,0.78081556
SHA-3-256,32,41,yes,58379.0,288980.0,0.71074986
SHA-3-256,32,28,yes,48612.0,242457.0,0.59183905
SHA-3-256,32,31,yes,90191.0,423778.0,1.09805308
SHA-3-256,32,14,yes,96773.0,449485.0,1.1781873
SHA-3-256,32,0,yes,80621.0,454288.0,0.9815407
SHA-3-256,32,23,yes,74671.0,472599.0,0.90910092
SHA-3-256,32,10,yes,54099.0,306028.0,0.65864192
SHA-3-256,32,22,yes,105808.0,511185.0,1.28818618
SHA-3-256,32,13,yes,56401.0,365848.0,0.6866682
SHA-3-256,32,20,yes,76760.0,355177.0,0.93453398
SHA-3-256,32,29,yes,113823.0,543550.0,1.38576682
SHA-3-256,32,35,yes,74030.0,397060.0,0.90129691
SHA-3-256,32,46,yes,53813.0,347345.0,0.65515994
SHA-3-256,32,27,yes,90031.0,587060.0,1.09610512
SHA-3-256,32,19,yes,69421.0,393204.0,0.84518347
SHA-3-256,32,25,yes,65236.0,373756.0,0.79423214
SHA-3-256,32,32,yes,95998.0,436365.0,1.16875186
SHA-3-256,32,21,yes,90257.0,584948.0,1.09885661
SHA-3-256,32,16,yes,78011.0,456064.0,0.94976459
SHA-3-256,32,6,yes,76213.0,442868.0,0.92787439
SHA-3-256,32,42,yes,79855.0,491802.0,0.97221484
SHA-3-256,32,43,yes,97101.0,636041.0,1.18218061
SHA-3-256,32,47,yes,112929.0,542005.0,1.37488259
SHA-3-256,32,36,yes,114053.0,517107.0,1.38856701
SHA-3-256,32,38,yes,85727.0,494420.0,1.04370498
SHA-3-256,32,40,yes,104862.0,620904.0,1.27666887
SHA-3-256,32,48,yes,92672.0,578467.0,1.12825864
SHA-3-256,32,9,yes,171848.0,798092.0,2.09220682
SHA-3-256,32,33,yes,110911.0,651488.0,1.35031394
SHA-3-256,32,44,yes,137044.0,654038.0,1.66847674
SHA-3-256,32,34,yes,125388.0,703004.0,1.52656783
SHA-3-256,32,2,yes,149405.0,861108.0,1.81896885
SHA-3-256,32,30,yes,132339.0,829754.0,1.61119453
SHA-3-256,32,1,yes,146654.0,843484.0,1.78547611
SHA-3-256,32,49,yes,144685.0,848128.0,1.76150402
SHA-3-256,32,3,yes,143928.0,885532.0,1.75228774
SHA-3-256,32,37,yes,151490.0,1035450.0,1.84435321
SHA-3-256,40,9,yes,196939.0,1276136.0,0.14985522
SHA-3-256,40,29,yes,296429.0,1643916.0,0.22555935
SHA-3-256,40,4,yes,702132.0,3220943.0,0.53426769
SHA-3-256,40,10,yes,524301.0,3355591.0,0.39895217
SHA-3-256,40,3,yes,753807.0,4549048.0,0.57358834
SHA-3-256,40,0,yes,906786.0,4529446.0,0.68999343
SHA-3-256,40,22,yes,996701.0,4868768.0,0.75841173
SHA-3-256,40,18,yes,911976.0,5055128.0,0.69394261
SHA-3-256,40,17,yes,833188.0,5057839.0,0.63399109
SHA-3-256,40,14,yes,1160117.0,5500242.0,0.88275856
SHA-3-256,40,7,yes,1181202.0,5510749.0,0.8988026
SHA-3-256,40,13,yes,1208835.0,5534087.0,0.91982916
SHA-3-256,40,21,yes,1253671.0,6153568.0,0.95394586
SHA-3-256,40,1,yes,1032120.0,5967261.0,0.78536283
SHA-3-256,40,20,yes,1156402.0,6258700.0,0.87993174
SHA-3-256,40,15,yes,1150748.0,6425192.0,0.87562948
SHA-3-256,40,19,yes,1501390.0,7371121.0,1.1424407
SHA-3-256,40,8,yes,1674098.0,8152789.0,1.27385802
SHA-3-256,40,26,yes,1753729.0,8352707.0,1.334451
SHA-3-256,40,25,yes,1813147.0,8676717.0,1.37966347
SHA-3-256,40,11,yes,2108924.0,9763016.0,1.6047267
SHA-3-256,40,6,yes,2231202.0,10230781.0,1.69777072
SHA-3-256,40,28,yes,2244755.0,10695069.0,1.70808349
SHA-3-256,40,23,yes,2325654.0,10682864.0,1.76964132
SHA-3-256,40,5,yes,2220562.0,11045180.0,1.68967451
SHA-3-256,40,24,yes,2320292.0,11177786.0,1.76556126
SHA-3-256,40,16,yes,1714246.0,11894139.0,1.30440752
SHA-3-256,40,12,yes,2263010.0,12626236.0,1.72197412
SHA-3-256,40,27,yes,1953628.0,12937598.0,1.48655855
SHA-3-256,40,2,yes,2411190.0,15915584.0,1.83472755
SHA-3-256,48,4,yes,5946447.0,29591485.0,0.2827989
SHA-3-256,48,3,yes,12883172.0,58977579.0,0.61269307
SHA-3-256,48,5,yes,13770754.0,83837910.0,0.65490437
SHA-3-256,48,2,yes,16627906.0,80612152.0,0.79078373
SHA-3-256,48,6,yes,19631318.0,107744392.0,0.93361888
SHA-3-256,48,0,yes,29378501.0,133055292.0,1.39717176
SHA-3-256,48,1,yes,22102188.0,153154813.0,1.05112759
SHA-3-256,48,8,yes,32669184.0,162427711.0,1.55366883
SHA-3-256,48,9,yes,25199902.0,167716544.0,1.19844751
SHA-3-256,48,7,yes,33341295.0,212876828.0,1.58563283
SHA-3-256,56,0,yes,43770348.0,215375218.0,0.13010086
SHA-3-256,56,4,yes,88497953.0,527059848.0,0.26304703
SHA-3-256,56,2,yes,197611437.0,914189306.0,0.58737067
SHA-3-256,56,1,yes,412037859.0,1882019767.0,1.2247214
SHA-3-256,56,3,yes,316513563.0,2071440171.0,0.9407896
