algorithm,file,points,duration_s,sample_dt_s,V_mean,V_min,V_max,I_mean,I_min,I_max,P_mean_VI,n_active,active_span_s,I_active,P_active,n_idle,I_idle,P_idle,meter_capacity_Ah,meter_energy_Wh,integral_VI_Wh,P_incremental
VSH-256,VSH Original Eksperimen Energy 3.cfn,1015,5070.0,5.0,5.021540344827586,5.01929,5.02491,0.07435309359605911,0.05364,0.08306,0.37336155845123153,718,3585.0,0.08284200557103064,0.4159721668569638,297,0.05383107744107744,0.2703500539552188,0.10477991666666678,0.13158396656232657,0.5258615639421528,0.14562211290174498
SpVSH-320,SVSH Original Eksperimen Energy 3_with optimization.cfn,728,3635.0,5.0,5.020783282967033,5.01683,5.02452,0.08151023351648351,0.05477,0.08192,0.4092443769379121,721,3600.0,0.0817686823855756,0.410540168978086,7,0.05489,0.2757777968,0.08237786805555573,0.10344794731965293,0.413318647843125,0.134762372178086
SHA-3-256,SHA-3 Eksperimen Energy 3_with optimization.cfn,761,3800.0,5.0,5.02100173455979,5.01893,5.0246,0.08272030223390275,0.05424,0.08465,0.4153345992671485,715,3570.0,0.0845332867132867,0.4244292564248951,46,0.054540217391304345,0.27397199344565215,0.08739309722222237,0.10974642749222223,0.4385034184261111,0.15045726297924295
