algorithm,trunc_bits,repetitions,success_count,expected_collision_steps,mean_collision_index,median_collision_index,min_collision_index,max_collision_index,stddev_collision_index,mean_hash_evaluations,mean_log2_collision_index,mean_ratio_to_expected,mean_seconds
VSH-256,16,50,50,320.8484,333.3000,340.5000,36,915,185.5710,1727.2800,8.093183,1.03880830,0.004079
VSH-256,24,50,50,5133.5747,5067.3200,5526.0000,814,8844,2261.2762,27268.0400,12.091941,0.98709385,0.048441
VSH-256,32,50,50,82137.1953,77770.2600,71015.5000,18440,229565,39284.5385,412063.0400,16.074045,0.94683364,0.688685
VSH-256,40,30,30,1314195.1248,1332563.9000,1273486.0000,50474,3025567,868201.6578,7166572.9333,19.921205,1.01397721,9.905983
VSH-256,48,10,10,21027121.9976,21006227.1000,15698751.0000,9302137,44623481,13095328.3557,111981418.5000,24.107713,0.99900629,160.413625
VSH-256,56,5,5,336433951.9615,283089374.4000,371035552.0000,61876128,435285644,181736362.5469,1737336589.2000,27.697118,0.84144116,2621.096109
