algorithm,trunc_bits,repetition,seed_attempt,seed_state_hex,found,rho_meet_steps,mu,lambda,collision_index,hash_evaluations,expected_collision_steps,log2_collision_index,ratio_to_expected,seconds,input_a_hex,input_b_hex,collision_trunc_hex
SHA-3-256,16,37,0,0x68db,yes,201,42,201,243,1173,320.8484,7.924813,0.75736699,0.002997,e46b0d0603daed49e52e000000000000,e46b0d0603daed49613e000000000000,0xd98c
SHA-3-256,16,33,0,0x85ab,yes,196,92,196,288,1348,320.8484,8.169925,0.89762013,0.003225,5e4150fb877cad068587000000000000,5e4150fb877cad06796f000000000000,0xe4ab
SHA-3-256,16,48,0,0xb9d9,yes,319,54,319,373,1811,320.8484,8.543032,1.16254274,0.002772,e1aca7b43d44f737deb1000000000000,e1aca7b43d44f737d2bf000000000000,0x1595
SHA-3-256,16,34,0,0x9fe5,yes,314,64,314,378,1826,320.8484,8.562242,1.17812642,0.003346,ec9277c7f9ff8c0e24f4000000000000,ec9277c7f9ff8c0e0b84000000000000,0xc500
SHA-3-256,16,25,0,0x7d37,yes,318,216,106,322,2030,320.8484,8.330917,1.00358917,0.003941,300bda4460ffb422b1ee000000000000,300bda4460ffb4224992000000000000,0x3312
SHA-3-256,16,19,0,0x87ce,yes,350,326,25,351,2404,320.8484,8.455327,1.09397453,0.004232,1f8aed434161b3c8cc04000000000000,1f8aed434161b3c8ef80000000000000,0x8e7f
SHA-3-256,16,11,0,0xbce6,yes,243,226,243,469,2119,320.8484,8.873444,1.46174945,0.004681,db89337227a6b74d2714000000000000,db89337227a6b74dfcc9000000000000,0xbdfe
SHA-3-256,16,49,0,0x289a,yes,207,183,69,252,1491,320.8484,7.977280,0.78541761,0.003331,124fe697b7cfd3074d14000000000000,124fe697b7cfd3077ca6000000000000,0xbc0c
SHA-3-256,16,21,0,0x9b08,yes,348,302,87,389,2426,320.8484,8.603626,1.21241052,0.004485,71412abdf65c47f430a6000000000000,71412abdf65c47f4d9a7000000000000,0xc047
SHA-3-256,16,41,0,0x38ee,yes,552,541,138,679,4096,320.8484,9.407268,2.11626413,0.003830,8e7f99dd47b9aa581223000000000000,8e7f99dd47b9aa58e692000000000000,0x0abb
