algorithm,trunc_bits,repetition,seed_attempt,seed_state_hex,found,rho_meet_steps,mu,lambda,collision_index,hash_evaluations,expected_collision_steps,log2_collision_index,ratio_to_expected,seconds,input_a_hex,input_b_hex,collision_trunc_hex
SHA-3-256,32,27,0,0x00ba38d7,yes,83608,78087,11944,90031,587060,82137.1953,16.458134,1.09610512,0.401426,2d76762f45ccd353cc3d4ae400000000,2d76762f45ccd3537bf3db5300000000,0x284dc63e
SHA-3-256,32,19,0,0x9e1c2910,yes,57760,40541,28880,69421,393204,82137.1953,16.083085,0.84518347,0.406915,a72fc09b25b743ff84e3f0f700000000,a72fc09b25b743ff20c826a800000000,0x3fad4709
SHA-3-256,32,25,0,0x71444d31,yes,56406,37033,28203,65236,373756,82137.1953,15.993381,0.79423214,0.421190,b3c795d82963e8a6a063c30500000000,b3c795d82963e8a69ced43ed00000000,0x57ab7750
SHA-3-256,32,32,0,0x1010e2b5,yes,52373,43625,52373,95998,436365,82137.1953,16.550717,1.16875186,0.422219,14d6c87231f189a8092ccde100000000,14d6c87231f189a8e36c7c3600000000,0x9202dea3
SHA-3-256,32,21,0,0xce9c8f5d,yes,83970,76262,13995,90257,584948,82137.1953,16.461751,1.09885661,0.446428,ef0cc5b5c4cf5dfa32aa3d2700000000,ef0cc5b5c4cf5dfa2cc5383300000000,0x801820e3
SHA-3-256,32,16,0,0xeda05f31,yes,72010,42006,36005,78011,456064,82137.1953,16.251390,0.94976459,0.452366,3840b664422b16b40b3732a900000000,3840b664422b16b4f5a440c600000000,0xf3180330
SHA-3-256,32,6,0,0x5bd23f48,yes,69008,41709,34504,76213,442868,82137.1953,16.217749,0.92787439,0.468264,4c54d4704102b4f2d6f9324f00000000,4c54d4704102b4f26bf030bf00000000,0x37810c43
SHA-3-256,32,42,0,0x624a9d11,yes,73878,55229,24626,79855,491802,82137.1953,16.285095,0.97221484,0.466933,01c07a25e9f2d9284dc9862b00000000,01c07a25e9f2d9285b556f8700000000,0x3a096b75
SHA-3-256,32,43,0,0x546ac480,yes,95245,78052,19049,97101,636041,82137.1953,16.567199,1.18218061,0.479089,811d1aed13141ab7984803cc00000000,811d1aed13141ab763a832e200000000,0x66954ae0
SHA-3-256,32,47,0,0xca6fa3f5,yes,90289,22640,90289,112929,542005,82137.1953,16.785056,1.37488259,0.489651,991f44629f8acb2c9eb6f2d100000000,991f44629f8acb2cbc7298f700000000,0xf43ec3f8
SHA-3-256,32,36,0,0x7a894a25,yes,60895,53158,60895,114053,517107,82137.1953,16.799345,1.38856701,0.499899,5f8776b25dfabb353e3964b500000000,5f8776b25dfabb353ad40bcf00000000,0x702d5dca
SHA-3-256,32,38,0,0xb890fc1d,yes,75756,47849,37878,85727,494420,82137.1953,16.387462,1.04370498,0.504156,d13eb0f26db0127dad7dfb5700000000,d13eb0f26db0127d53b5f51100000000,0x5e24a9d6
SHA-3-256,32,40,0,0x4768e6fe,yes,100728,54498,50364,104862,620904,82137.1953,16.678132,1.27666887,0.506310,1a976eeba9badfb30e268f5a00000000,1a976eeba9badfb34b1cf95300000000,0xbc077d1e
SHA-3-256,32,48,0,0x8cde5ada,yes,79915,76689,15983,92672,578467,82137.1953,16.499846,1.12825864,0.519756,5a944c7e672747333921a49100000000,5a944c7e672747330c479f9100000000,0x9c05adfe
SHA-3-256,32,9,0,0xdb10825c,yes,110700,61148,110700,171848,798092,82137.1953,17.390774,2.09220682,0.549886,cae602954a2618543268483e00000000,cae602954a2618549729232200000000,0xe231b555
SHA-3-256,32,33,0,0x43cec31c,yes,89076,81219,29692,110911,651488,82137.1953,16.759043,1.35031394,0.558072,75f1b02691cc4d13e8d9171000000000,75f1b02691cc4d13388a902c00000000,0xab78f44d
SHA-3-256,32,44,0,0x41887049,yes,105862,31182,105862,137044,654038,82137.1953,17.064280,1.66847674,0.586332,6508727c4f421cd5e850dc6400000000,6508727c4f421cd5ff81ef9500000000,0x911e4d82
SHA-3-256,32,34,0,0x062a91c7,yes,100726,75025,50363,125388,703004,82137.1953,16.936040,1.52656783,0.607648,0d67f0f8d57203fc38dd828600000000,0d67f0f8d57203fc223c0dc100000000,0x97bc44d5
SHA-3-256,32,2,0,0xba0d7e15,yes,131744,83533,65872,149405,861108,82137.1953,17.188869,1.81896885,0.700799,85a972804c1eb5bad00bf6a100000000,85a972804c1eb5baebd11c2a00000000,0xaf728ac6
SHA-3-256,32,30,0,0xdac78252,yes,128742,89425,42914,132339,829754,82137.1953,17.013879,1.61119453,0.715082,dee5ea47f9e4f0eddba12e8100000000,dee5ea47f9e4f0ed7214b16800000000,0xfc58e000
SHA-3-256,32,1,0,0xa67fbd96,yes,128434,82437,64217,146654,843484,82137.1953,17.162057,1.78547611,0.717570,e416ca14d6f1adecd34e7ec400000000,e416ca14d6f1adecbc9cd6c300000000,0x56b1a2de
SHA-3-256,32,49,0,0x484f272b,yes,115452,106201,38484,144685,848128,82137.1953,17.142556,1.76150402,0.748650,508313044d5b4878db28112900000000,508313044d5b487829675e3b00000000,0x986294d9
SHA-3-256,32,3,0,0x30880045,yes,132780,99668,44260,143928,885532,82137.1953,17.134988,1.75228774,0.780838,95840d944cd98e500828986c00000000,95840d944cd98e50da3e06ee00000000,0x22786dcc
SHA-3-256,32,37,0,0x117194e2,yes,148100,144085,7405,151490,1035450,82137.1953,17.208863,1.84435321,0.884961,94c60caae2810ffa4b854bd100000000,94c60caae2810ffa35ba21ec00000000,0x072ac059
SHA-3-256,40,9,0,0x336eb8194e,yes,195352,148101,48838,196939,1276136,1314195.1248,17.587389,0.14985522,0.869807,c2331761dd063ec67df238a502000000,c2331761dd063ec6040eee3051000000,0x3b3d3b02b7
SHA-3-256,40,29,0,0xa149bbc794,yes,229100,181879,114550,296429,1643916,1314195.1248,18.177327,0.22555935,1.127094,849f63ca04b7b8f7345cd78591000000,849f63ca04b7b8f7f044155b48000000,0xe213567bb6
SHA-3-256,40,4,0,0xdabf65253a,yes,412415,289717,412415,702132,3220943,1314195.1248,19.421383,0.53426769,2.195566,710f702e3bb5e0c23ebb495215000000,710f702e3bb5e0c2c86b9b25b0000000,0xb7c7791c77
SHA-3-256,40,10,0,0x78669c9eca,yes,483995,427502,96799,524301,3355591,1314195.1248,19.000036,0.39895217,2.287204,cba2210f2069d00bdcff5eac0b000000,cba2210f2069d00b03bbe6db69000000,0x8cc3061998
SHA-3-256,40,3,0,0xeeaec2c9e9,yes,613528,600425,153382,753807,4549048,1314195.1248,19.523836,0.57358834,3.091614,26b495542f049c43ea41970d20000000,26b495542f049c4375063e908f000000,0x2cd94dcba7
SHA-3-256,40,0,0,0x518da257a4,yes,902302,4484,902302,906786,4529446,1314195.1248,19.790403,0.68999343,3.093309,1aefd81c3a635c5d6e7aa2e8aa000000,1aefd81c3a635c5d615814eae8000000,0xdcd30a6845
SHA-3-256,40,22,0,0x031a2c9c2b,yes,881964,114737,881964,996701,4868768,1314195.1248,19.926801,0.75841173,3.314501,8311225db01e42a1ef65905b7f000000,8311225db01e42a1098b971d58000000,0xf4befe9bbf
SHA-3-256,40,18,0,0xea8aed16f3,yes,703612,560170,351806,911976,5055128,1314195.1248,19.798636,0.69394261,3.439598,4f4e169f0ae1171b455e50ae79000000,4f4e169f0ae1171bafff1a3cf1000000,0x8b82c65300
SHA-3-256,40,17,0,0xcc32deafd0,yes,739323,586747,246441,833188,5057839,1314195.1248,19.668283,0.63399109,3.502959,715ec0ff9aec415eaa5a4858f5000000,715ec0ff9aec415e1f027c4915000000,0x7f5e1a3576
SHA-3-256,40,14,0,0x337ee83f6a,yes,859774,300343,859774,1160117,5500242,1314195.1248,20.145839,0.88275856,3.753057,13ce3e54e010de3a22737352c7000000,13ce3e54e010de3a40fcd23c2c000000,0xb0d41b09d4
SHA-3-256,40,7,0,0x588f75ad4d,yes,785941,395261,785941,1181202,5510749,1314195.1248,20.171824,0.89880260,3.755429,441d48bebbddc8dba28ce39eef000000,441d48bebbddc8dbfe2942a5fb000000,0x9c0dbc48d4
SHA-3-256,40,13,0,0x6b4c28ef0c,yes,698747,510088,698747,1208835,5534087,1314195.1248,20.205186,0.91982916,3.767198,d2c8be6512f70d878cc9f2eede000000,d2c8be6512f70d874fcac51106000000,0xd8970c6b4f
SHA-3-256,40,21,0,0xe642aa18dc,yes,1138884,114787,1138884,1253671,6153568,1314195.1248,20.257727,0.95394586,4.189554,707c44311812ee8f25e77ede93000000,707c44311812ee8f32218a1536000000,0x165b774ad4
SHA-3-256,40,1,0,0x0c57c97c27,yes,788049,769437,262683,1032120,5967261,1314195.1248,19.977179,0.78536283,4.230509,847ca66e788bf2e31b5870958b000000,847ca66e788bf2e3ffb816a46d000000,0x47efce7404
SHA-3-256,40,20,0,0x629460851c,yes,816546,748129,408273,1156402,6258700,1314195.1248,20.141212,0.87993174,4.261520,b1e7a268bdef81df8b31384a5a000000,b1e7a268bdef81df5e7fcd2f25000000,0x2e915de8f6
SHA-3-256,40,15,0,0x8e8fba7737,yes,911100,695198,455550,1150748,6425192,1314195.1248,20.134141,0.87562948,4.389721,a1e2835c45391cea2c69b6d78e000000,a1e2835c45391ceaaf4041e2c5000000,0x1c8e1cd81e
SHA-3-256,40,19,0,0x7ed227ae20,yes,1365561,135829,1365561,1501390,7371121,1314195.1248,20.517867,1.14244070,5.076510,70247e9ec464898681f7982b3f000000,70247e9ec46489865f3b5185b9000000,0x59cf5e4bd2
SHA-3-256,40,8,0,0xc4a18096ea,yes,1456397,217701,1456397,1674098,8152789,1314195.1248,20.674953,1.27385802,5.555877,0fc121ea38a314985cddbaaa77000000,0fc121ea38a314987a5868aa51000000,0xb35c889841
SHA-3-256,40,26,0,0x29174397d9,yes,1337791,415938,1337791,1753729,8352707,1314195.1248,20.741994,1.33445100,5.678260,4e02158e29ced56aca306f28be000000,4e02158e29ced56ac2e3cb3008000000,0xb453a9d5a9
SHA-3-256,40,25,0,0xb966b77d4e,yes,1424129,389018,1424129,1813147,8676717,1314195.1248,20.790064,1.37966347,5.905630,bcd57869ddc74bf99b8e185786000000,bcd57869ddc74bf95093812217000000,0x9710f48eda
SHA-3-256,40,11,0,0x13a0a9cf67,yes,1327320,781604,1327320,2108924,9763016,1314195.1248,21.008076,1.60472670,6.649283,43693173b8988761862eb588ee000000,43693173b8988761e3bc1bea5d000000,0x882fd4e92d
SHA-3-256,40,6,0,0x7f37f53c4c,yes,1305973,925229,1305973,2231202,10230781,1314195.1248,21.089390,1.69777072,6.963755,68ec8810fb3e1605d5aa37ef91000000,68ec8810fb3e1605fe86f9b932000000,0x4060751eb3
SHA-3-256,40,28,0,0xa90662f673,yes,1716049,528706,1716049,2244755,10695069,1314195.1248,21.098127,1.70808349,7.282228,6e64537332285d9eb634561534000000,6e64537332285d9ead6a5ca711000000,0x729cb6eb01
SHA-3-256,40,23,0,0x8b753c2473,yes,1380248,945406,1380248,2325654,10682864,1314195.1248,21.149205,1.76964132,7.297438,dbeb6de2a941a3ee4720485875000000,dbeb6de2a941a3eea5db98b0e1000000,0x21029f1b10
SHA-3-256,40,5,0,0x82d5676dea,yes,2162932,57630,2162932,2220562,11045180,1314195.1248,21.082493,1.68967451,7.515101,a09296cefb9e78e92bebc2493e000000,a09296cefb9e78e92d1658249f000000,0x3e97bf34d1
SHA-3-256,40,24,0,0x604d822a32,yes,1896618,423674,1896618,2320292,11177786,1314195.1248,21.145875,1.76556126,7.630186,be640191f9efa69ba8fafac5ff000000,be640191f9efa69bf7d9971899000000,0x36b18473e7
SHA-3-256,40,16,0,0xf4f2c10c2e,yes,1702211,1679507,34739,1714246,11894139,1314195.1248,20.709143,1.30440752,8.100642,b83092a9327945d4ccebdd04b5000000,b83092a9327945d4d135c9a3b2000000,0xe206593613
SHA-3-256,40,12,0,0xf7e4a5c297,yes,1787098,1369461,893549,2263010,12626236,1314195.1248,21.109812,1.72197412,8.591696,ee21b37b0ba722f898a9fd5781000000,ee21b37b0ba722f8dd201cb0c2000000,0xfc14272a22
SHA-3-256,40,27,0,0x12e9d476f2,yes,1808148,1802949,150679,1953628,12937598,1314195.1248,20.897724,1.48655855,8.893538,fcdeae4fc1ac43760aa096b26e000000,fcdeae4fc1ac4376b9e4f9149d000000,0x96b9f460ea
SHA-3-256,40,2,0,0x3d7526e779,yes,2239580,2187232,223958,2411190,15915584,1314195.1248,21.201314,1.83472755,10.821447,ad1bf5ef1ee0b46d512a94ca3f000000,ad1bf5ef1ee0b46d6f1715187c000000,0x71b425d281
SHA-3-256,48,4,0,0x9caac76bfb88,yes,5805697,140750,5805697,5946447,29591485,21027121.9976,22.503596,0.28279890,20.132320,1eaf4daf646ac546082f1138b7140000,1eaf4daf646ac546b1832f5976020000,0xf0e5f952a8eb
SHA-3-256,48,3,0,0xa2bd8a35d839,yes,7444891,5438281,7444891,12883172,58977579,21027121.9976,23.618985,0.61269307,40.128007,de5c89ccc644da0662816e6efddb0000,de5c89ccc644da060f86fdd6e8de0000,0xb62857dc06c8
SHA-3-256,48,5,0,0x1544d4cf27f1,yes,12323526,9662912,4107842,13770754,83837910,21027121.9976,23.715104,0.65490437,57.020384,d392fdad87fa9246b9f9a991f7180000,d392fdad87fa92467341a0522dc80000,0x769eb22e1ff1
SHA-3-256,48,2,0,0xf3f2c3582fc3,yes,14100528,2527378,14100528,16627906,80612152,21027121.9976,23.987103,0.79078373,58.283651,412ab69d4cb24125028fb2c8f7600000,412ab69d4cb241257f59872504090000,0xdd3d4e657537
SHA-3-256,48,6,0,0x8f6034b60ded,yes,14609560,12326538,7304780,19631318,107744392,21027121.9976,24.226654,0.93361888,73.229772,4999717fd7eb672de63461fc9b5a0000,4999717fd7eb672db2bad93f4e570000,0x5e610792d28c
SHA-3-256,48,0,0,0x202eabbd3530,yes,15541288,13837213,15541288,29378501,133055292,21027121.9976,24.808257,1.39717176,90.834706,d1cce5eb49817c9d38eafc31525c0000,d1cce5eb49817c9d65ce3d3682c70000,0x9e25d4bb64a0
SHA-3-256,48,1,0,0x8d5079aa5fe8,yes,21892553,21636389,465799,22102188,153154813,21027121.9976,24.397686,1.05112759,103.969701,5788fb6fb4d46d74a60983c0a59c0000,5788fb6fb4d46d745324cf13c0280000,0xa8140d6278d6
SHA-3-256,48,8,0,0xfc0dc1103642,yes,31750975,918209,31750975,32669184,162427711,21027121.9976,24.961427,1.55366883,110.298161,e34afe01d9ed179404101b607f430000,e34afe01d9ed17941704cfac2dba0000,0xd23439d5fd5c
SHA-3-256,48,9,0,0x569138121a84,yes,24653608,21677958,3521944,25199902,167716544,21027121.9976,24.586915,1.19844751,114.075547,a0ae2c3771c37e1cd5b21b92de260000,a0ae2c3771c37e1cb29dbf55c3f80000,0x71c75c9d9a66
SHA-3-256,48,7,0,0xcc9d25b3f68c,yes,29816868,28371817,4969478,33341295,212876828,21027121.9976,24.990807,1.58563283,144.793328,63d0e345b5a1311066f6f56f65960000,63d0e345b5a1311051de721bc5bb0000,0xd8984dbd7772
SHA-3-256,56,0,0,0x0ec1ee55539026,yes,40293826,3476522,40293826,43770348,215375218,336433951.9615,25.383451,0.13010086,146.482426,c096f586c95cc4bb72061208bbd1a000,c096f586c95cc4bb96296e8f0278c000,0x2891ff6147c31c
SHA-3-256,56,4,0,0x86d90e7938d376,yes,86534018,45230944,43267009,88497953,527059848,336433951.9615,26.399141,0.26304703,358.345863,d4346ec97e7e41db1b2eb8b1a319e800,d4346ec97e7e41db797c4cf6976d0700,0xd053eeba9dd0ab
SHA-3-256,56,2,0,0xf6cd1851d9ab01,yes,123743558,73867879,123743558,197611437,914189306,336433951.9615,27.558091,0.58737067,623.246002,a5e979261b68cac932b29c2608cbfc00,a5e979261b68cac928d07115c809c100,0x877937542dad0d
SHA-3-256,56,1,0,0x5c2df2a4b391bf,yes,233868331,178169528,233868331,412037859,1882019767,336433951.9615,28.618202,1.22472140,1290.401036,5b63f8bf32f6d1d5c3a361d92dbc1400,5b63f8bf32f6d1d5eb05d4ce4f989500,0xecf635602bcabb
SHA-3-256,56,3,0,0x19a2f8c0382999,yes,309763815,254560800,61952763,316513563,2071440171,336433951.9615,28.237692,0.94078960,1413.827356,3f459fb7cb7e38af55bcd0bdf554df00,3f459fb7cb7e38afd6584d62cbbb0100,0x7b6676355b7bff
