algorithm,trunc_bits,repetitions,success_count,expected_collision_steps,mean_collision_index,median_collision_index,min_collision_index,max_collision_index,stddev_collision_index,mean_hash_evaluations,mean_log2_collision_index,mean_ratio_to_expected,mean_seconds
SHA-3-256,16,50,50,320.8484,288.3200,270.0000,26,679,174.9419,1534.6400,7.832885,0.89861749,0.002726
SHA-3-256,24,50,50,5133.5747,5587.6600,5285.0000,863,12792,2797.5401,30147.9800,12.241175,1.08845401,0.029638
SHA-3-256,32,50,50,82137.1953,85716.6600,80238.0000,15842,171848,37039.1712,472609.6200,16.222321,1.04357910,0.408323
SHA-3-256,40,30,30,1314195.1248,1426706.0333,1231253.0000,196939,2411190,657548.6480,7480940.0333,20.238108,1.08561203,5.107674
SHA-3-256,48,10,10,21027121.9976,21155066.7000,20866753.0000,5946447,33341295,9086211.0652,118999470.6000,24.179653,1.00608475,81.276558
SHA-3-256,56,5,5,336433951.9615,211686232.0000,197611437.0000,43770348,412037859,153865801.7583,1122016862.0000,27.239315,0.62920591,766.460536
