algorithm,trunc_bits,repetitions,success_count,lanes_per_rep,expected_trials,mean_trials,median_trials,min_trials,max_trials,stddev_trials,mean_log2_trials,mean_ratio_to_expected,mean_seconds
SHA-3-256,8,50,50,0,256,303.9600,290.5000,5,960,217.6288,7.607310,1.18734375,0.001678
SHA-3-256,16,50,50,0,65536,76702.1000,49015.0000,1048,355764,86424.6939,15.159057,1.17038116,0.037167
SHA-3-256,24,50,50,0,16777216,18993244.8600,12524167.0000,649439,137463406,23067559.5577,23.395853,1.13208561,9.816445
SHA-3-256,32,50,50,0,4294967296,4795371613.4400,3297181952.5000,57071720,30207680584,5475787920.2086,31.143523,1.11650946,2419.332651
SHA-3-256,36,30,30,0,68719476736,90193906834.2333,56244801006.0000,1353484417,442933740954,91295393284.6915,35.661053,1.31249409,29146.194478
