algorithm,trunc_bits,repetitions,success_count,lanes_per_rep,expected_trials,mean_trials,median_trials,min_trials,max_trials,stddev_trials,mean_log2_trials,mean_ratio_to_expected,mean_seconds
VSH-256,8,50,50,1,256,180408.64,191456,98112,262004,51717.4299,17.398196,704.72125,0.090277
VSH-256,16,50,50,1,65536,1179446.76,998872,384912,3270560,525562.54,20.04447,17.99692932,0.567921
VSH-256,24,50,50,1,16777216,34894867,29122085.5,1514944,95164496,22636492.69,24.723988,2.07989615,18.600926
VSH-256,32,50,50,1,4294967296,4911804594,3758087539,28464062,20757382084,4796110204,31.330999,1.14361863,3178.129815
VSH-256,36,30,30,1,68719476736,81539036958,62462583534,9322549184,3.35463E+11,68428350158,35.854931,1.18654915,51307.34326
