time_s,Voltage_V,Current_A,Capacity_Ah,Energy_Wh
525.00000000,5.01944000,0.08177000,0.01194928,0.01506849
530.00000000,5.01975000,0.08178000,0.01206286,0.01521105
535.00000000,5.02050000,0.08180000,0.01217646,0.01535362
540.00000000,5.01960000,0.08180000,0.01229007,0.01549620
545.00000000,5.01991000,0.08182000,0.01240369,0.01563878
550.00000000,5.01889000,0.08180000,0.01251732,0.01578137
555.00000000,5.02026000,0.08179000,0.01263092,0.01592396
560.00000000,5.02081000,0.08181000,0.01274453,0.01606658
565.00000000,5.02073000,0.08183000,0.01285817,0.01620923
570.00000000,5.02061000,0.08181000,0.01297181,0.01635184
575.00000000,5.02026000,0.08182000,0.01308544,0.01649448
580.00000000,5.02069000,0.08184000,0.01319910,0.01663714
585.00000000,5.02057000,0.08182000,0.01331275,0.01677975
590.00000000,5.01971000,0.08181000,0.01342638,0.01692234
595.00000000,5.01948000,0.08179000,0.01353999,0.01706491
600.00000000,5.02014000,0.08181000,0.01365360,0.01720749
605.00000000,5.01948000,0.08182000,0.01376724,0.01735009
610.00000000,5.01948000,0.08182000,0.01388087,0.01749269
615.00000000,5.01936000,0.08181000,0.01399451,0.01763529
620.00000000,5.01995000,0.08181000,0.01410813,0.01777786
625.00000000,5.01917000,0.08181000,0.01422176,0.01792045
630.00000000,5.01964000,0.08181000,0.01433538,0.01806304
635.00000000,5.01940000,0.08180000,0.01444900,0.01820559
640.00000000,5.01917000,0.08181000,0.01456262,0.01834816
645.00000000,5.01882000,0.08183000,0.01467626,0.01849078
650.00000000,5.01956000,0.08184000,0.01478992,0.01863343
655.00000000,5.01991000,0.08183000,0.01490358,0.01877606
660.00000000,5.01979000,0.08184000,0.01501724,0.01891870
665.00000000,5.01968000,0.08181000,0.01513088,0.01906129
670.00000000,5.01975000,0.08184000,0.01524453,0.01920394
675.00000000,5.01983000,0.08183000,0.01535819,0.01934658
680.00000000,5.02030000,0.08184000,0.01547185,0.01948922
685.00000000,5.01956000,0.08184000,0.01558551,0.01963187
690.00000000,5.01971000,0.08185000,0.01569919,0.01977451
695.00000000,5.01913000,0.08184000,0.01581286,0.01991712
700.00000000,5.01839000,0.08182000,0.01592651,0.02005972
705.00000000,5.01968000,0.08184000,0.01604017,0.02020238
710.00000000,5.02022000,0.08184000,0.01615383,0.02034504
715.00000000,5.02018000,0.08184000,0.01626750,0.02048766
720.00000000,5.01889000,0.08184000,0.01638117,0.02063028
725.00000000,5.01905000,0.08184000,0.01649483,0.02077295
730.00000000,5.02065000,0.08182000,0.01660849,0.02091556
735.00000000,5.01956000,0.08184000,0.01672214,0.02105820
740.00000000,5.01979000,0.08184000,0.01683581,0.02120086
745.00000000,5.02030000,0.08183000,0.01694947,0.02134349
750.00000000,5.01987000,0.08184000,0.01706312,0.02148614
755.00000000,5.01991000,0.08184000,0.01717679,0.02162878
760.00000000,5.01952000,0.08184000,0.01729046,0.02177141
765.00000000,5.01917000,0.08184000,0.01740413,0.02191407
770.00000000,5.02022000,0.08185000,0.01751780,0.02205674
775.00000000,5.02014000,0.08186000,0.01763149,0.02219941
780.00000000,5.01952000,0.08188000,0.01774519,0.02234213
